,geo,text,user,location
100,,The Crocodile Tear of Egypt and The Grand Ethiopian Renaissance Dam (#GERD)፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬//… ,iyoba4u,Ethiopia
101,,#Ethiopia is only filling 4.9 BCM the coming expected #Wet rainy season    What happ… ,FDisputes,
102,,My new daily goal is to not vomit after taking my pills at night. Yay?#gerd #reflux #goals,MsNatx,Canadia/Everywhere
103,, Latest (18-05-2020) Containment Zone in Chengalpet district with No. of Cases. District Administration has instructed m…,msureshmohan,"Chennai, India"
104,, Where are the other opposition/competing parties' contribution in regard to #GERD issue ??🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹#ItsMyDam  #GER…,destade,
105,, UN Chief Encourages Three UN Member States to Agree On Renaissance Dam:  #Africa #GERD #Egypt #Ethiop…,LuiWagude,East and Central Africa
106,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,AbaayFitsum,
107,, UN Chief Encourages Three UN Member States to Agree On Renaissance Dam:  #Africa #GERD #Egypt #Ethiop…,th_b_e,United States
108,,UN Chief Encourages Three UN Member States to Agree On Renaissance Dam:  #Africa #GERD… ,allafrica,Africa
109,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,_Bisre,
110,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",bantihungetahun,"Addis Ababa, Ethiopia"
111,,"According to the World Metrology Organization, wet season expected across Eastern Africa. This marks the right timi… ",alemange2010,Ethiopia
112,,Statement attributable to the Spokesman for the Secretary-General on the #GERD ,LamessaH,"Stockholm, Sweden"
113,,"The Brave don’t live forever, nobody does. We all die in the end no matter how hard we fight. But the Cautious don’… ",defend_ethiopia,
114,, Latest (18-05-2020) Containment Zone in Chengalpet district with No. of Cases. District Administration has instructed m…,SarathSelvaraj,
115,, The Declararion of Principles on the #GERD allows Ethiopia to fill the dam by its own. That’s consistent with Internationa…,BelaynehW,"hawassa, ethiopia"
116,," 15 years back, I was like this nice,hardworking boy helping my mama collect firewoods!#GERD የዚህን ህፃንና መሰል ሚሊዬኖችን  ድካም ያቃል…",Abebawmelesee,Adu-ገነት
117,, Where are the other opposition/competing parties' contribution in regard to #GERD issue ??🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹#ItsMyDam  #GER…,BerhanuMegerssa,Ethiopia
118,, The Declararion of Principles on the #GERD allows Ethiopia to fill the dam by its own. That’s consistent with Internationa…,BerhanuMegerssa,Ethiopia
119,,"15 years back, I was like this nice,hardworking boy helping my mama collect firewoods!#GERD የዚህን ህፃንና መሰል ሚሊዬኖችን… ",GerbachewSA, Addis Ababa
120,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,SusanStigant,
121,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,AhmedinM1,Damascus MD
122,,"UN chief António Guterres is encouraging Egypt, Ethiopia and Sudan to overcome their differences and reach agreemen… ",masbekele,"Washington, DC"
123,,Will this move be enough to persuade #Egypt #Ethiopia #Sudan to reach a deal over #GERD? ,Hamdy3li,"Exeter, England"
124,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,zyan_moamen,"الأسكندرية, مصر"
125,,"#itismydam ,#GERD   Ethiopia is the source and  main contributer of Nile. Ethiopia ",dagu_sa,
126,,"I couldn't agree with you more on this subject matter Professor Berhanu Nega, Leader of Ethiopian Citizens for Soci… ",masbekele,"Washington, DC"
127,,"In a letter signed by Ethiopia’s Foreign Minister &amp; delivered to the UN Security Council,(UNSC), Ethiopia said it “… ",alhaythum,Planet Earth
128,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",wubaaa_,"Colorado, USA"
