,geo,text,user,location
902,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Zeki49974703,addis ababa
903,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MokhtarAse,"Paris, France 🇸🇩 ➡️ 🇫🇷"
904,, Aid is cooperative but military threat is not! #GERD will be finished and #Ethiopia will never guarantee… ,itsmydam1,
905,, #GERD will start to fill per schedule. No one can stop 🛑 #Ethiopia. History tells us colonialism or neo-c… ,itsmydam1,
906,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AmanEri,"Asmara, Eritrea"
907,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Rehabamohsen,"Cairo, Egypt"
908,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Awad25587110,
909,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,MoJamesApted,Thailand - Madagascar - Egypt
910,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,TheMiinz,Cairo/Jeddah 
911,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,ameralsaify,Khartoum North
912,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,Zeinobia,Egypt
913,,       … ,SasTrendy,
914,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,Land_of_Nile,‏‏‏
915,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,EkramAlssadig,Sudan القضارف
916,,Egypt could file complaint with UN Security Council if Ethiopia insists on filling GERD in July: Experts… ,wakid2011,"Cairo , Egypt "
917,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,Agnakagos,savage islands
918,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,mohdaly_eg,
919,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Embas_FDRE_Doha,West Bay Lagoon Villa #10 511 
920,, #Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts …,utanord,"Stockholm,Sweden"
921,,#Egypt could file complaint with #UN Security Council if #Ethiopia insists on filling #GERD in July: Experts… ,ahramonline,Cairo
922,, So #Egypt &amp; #USA look weak. How about #Ethiopia looks strong? Egypt builds a new mega city in the deser… ,tsinatkeab,"Leiden, The Netherlands"
923,, #Ethiopia removed FM  from his role as chief negotiator on #GERD &amp; replaced him with former PM Hailemariam.…,ShaqaleZak,"Ankara, Hargeisa"
924,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,abeer_abdalla20,Sudan
925,, Egypt’s  insistence to change the tripartite project negotiation on the #GERD into a tripartite water allocation negotiati…,TesfaAlemayehu,Zewari
926,," Once we fully support our hydropower production and the development of the whole country, both in rural and urban areas…",misrak_beneberu,Ethiopia
927,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,reembr27,Sudan
928,, 27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for this pat…,RogerJulioO,
929,, Egypt’s  insistence to change the tripartite project negotiation on the #GERD into a tripartite water allocation negotiati…,BerhanuMegerssa,Ethiopia
930,, #Ethiopia removed FM  from his role as chief negotiator on #GERD &amp; replaced him with former PM Hailemariam.…,teshager_belay,
931,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mohamed02566080,
932,, 27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for this pat…,SimoneSan84,"Rome, Italy"
933,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Yasir_Bastawi2,
934,," Yes. Make noise about #GERD.#GERD will benefit all of us, regardless of whether want to stay #Ethiopian or not. Its benefit…",yteklustl1,
935,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Garyare5,
936,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,sonia_indira,
937,,"Yes. Make noise about #GERD.#GERD will benefit all of us, regardless of whether want to stay #Ethiopian or not. I… ",raskassa,"Seattle, WA"
938,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,saiko9910,
939,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",SudanWiN,Bir Tawil
940,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,HarshKothari001,Planet Earth
941,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,nurallah65,Global Citizen |  🇸🇩🌍
942,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MhmdEmad20,
943,,  It is enough to pressures from outsiders. Africa have enough manmade or natural resour… ,genet_mersha,"Washington, DC"
944,," Once we fully support our hydropower production and the development of the whole country, both in rural and urban areas…",SOLOMONKeffa,e
945,, 27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for this pat…,beregocar,"Monterrey, Nuevo León"
946,, 27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for this pat…,almagoch,CDMX
947,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AYMEN_BRAZILI,United Kingdom
948,," Sudan walks right path in GERD crisis, says Egyptian Strategic Studies CenterDetails at #Egypt…",ecsstudies,"Cairo, Egypt"
949,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,GafarsaGoro,
950,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,gUDjerRTmh7GyAg,
951,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,yohannes50001,"Merton, London"
952,, Egypt’s  insistence to change the tripartite project negotiation on the #GERD into a tripartite water allocation negotiati…,getachew_temare,United States
953,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AdilG,"Baileys Crossroads, VA"
954,, Egypt’s  insistence to change the tripartite project negotiation on the #GERD into a tripartite water allocation negotiati…,DallieDeyamo,
955,,#itismydam and it my right too. #GERD,dagu_sa,
956,, 27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for this pat…,CesarTarango9,"Chihuahua, México"
957,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,teddy27it,
958,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,abdokattab,
959,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,aibrahimhamed,Sudan
960,,  Love from Sudan to Ethiopia.#GERD,MuhammedMichea1,Delphi
961,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,HibaElgeneid,sudan 
962,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,yosiuf_ze,المهندسين
963,,"Sudan walks right path in GERD crisis, says Egyptian Strategic Studies CenterDetails at … ",EgyptTodayMag,Egypt
964,,  #Sudan and #Sudanese are the most beneficial on #GERD. &gt; Throughout the year uninterr… ,DaveSmith524,
965,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Gaopalelwe_31,"South africa, johannesburg"
966,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AbuSami58595234,
967,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,7asco96,Sudan | Oman | Malaysia
968,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Loui18612127,
969,,27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for t… ,alfredo_md1,Mexico City
970,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Majid1819,Sudan
971,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,aaab73,United Arab Emirates
972,, Principles on #GERD1⃣ African soultions for African problems 2⃣ Equitable Nile Utilization 3⃣ Cooperation Principle…,MuhamedOumer10,"جدة, المملكة العربية السعودية"
973,,Principles on #GERD1⃣ African soultions for African problems 2⃣ Equitable Nile Utilization 3⃣ Cooperation Princi… ,BerhanuMegerssa,Ethiopia
974,, #GERD #ItsMyDam #RT 1. #BlueNile is the major river in #Ethiopia. Tekeze &amp; Baro are among the main tributaries. 2. #Blu…,Kaleb_Tamiru,"Washington, DC"
975,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,elephane_kel,Cairo 
976,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,HeartofAfrikaa,
977,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mosab_4_u,"Dammam, Kingdom of Saudi Arabi"
978,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,london_used3,Nigeria
979,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MarvinMido,Kenya
980,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,toola22,
981,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,ali_algasas,السودان
982,,  Don't keep your hopes up my friend.what #Ethiopia needs to do is finish #GERD by all means nec… ,bengsishuh1,"MD, USA, Addis Ababa, Ethiopia"
983,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Engmoayadhamed,"Khartoum, sudan"
984,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Nunu73489714,
985,,#Ethiopia may get support for Grand Ethiopian Renaissance Dam (#GERD). ,iyoba4u,Ethiopia
986,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,SudanWiN,Bir Tawil
987,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,taregazhre,
988,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,NatnaelMekonne7,
989,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,GhadiAdil2,Sudan
990,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,gongoleez,"Cambridge, England"
991,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,infatorama,"Karastan, Silastan"
992,, Egypt’s  insistence to change the tripartite project negotiation on the #GERD into a tripartite water allocation negotiati…,wubaaa_,"Colorado, USA"
993,,       … ,SasTrendy,
994,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,alkangr,Sudan
995,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,nyabuay99,
996,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,hash_sudan,Sudan
997,,Sudan’s sudden shift. #GERD #Nile ,AllRightsForAll,
998,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,LynnEA58,"Illinois, USA"
999,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,XuAYrEXJZuIW3kJ,"San Francisco, CA"
1000,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AltaifAnas,السودان
1001,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mohamedhabbani2,
1002,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AdhamSeif6,"Paris, France"
1003,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,sword1815,Sudan
1004,," Toupet, Hill, LINX, TIF, Stretta, oh my! Check this great webinar on alternatives to Nissen Fundoplication for #GERD.",doleynik3,
1005,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,OkashaAbdullahW,Jakarta Capital Region
1006,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mazenelhadaa,SAUDIA ARABIA
1007,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,RahimBnMohammed,Dubai 
1008,,Lifestyle changes to improve your #GERD,nova_gastro,Chantilly
1009,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,GetnetAsrat,
1010,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,NM79792625,ارض الله واسعة 
1011,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,bcatnessp,
1012,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MELHAJ81,Sudan
1013,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MHassankulmiye,Where there is Money
1014,," Once we fully support our hydropower production and the development of the whole country, both in rural and urban areas…",tsegaye60981564,"England, United Kingdom"
1015,, #Egypt has every chance &amp; possibly the upper hand over any other country including #China &amp; #India t… ,itsmydam1,
1016,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,isamtaha,
1017,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,richer2030,East And Horn of Africa
1018,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,fox00100," sudan , kuala , saudi "
1019,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,iAsaadb,Khartoum
1020,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MBadnab,Riyadh
1021,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,JemsBond00714,
1022,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Ahelfatih,Sudan
1023,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,freha_ali,"القاهرة, مصر"
1024,,1⃣Egypt wants #GERD to be hostage to Aswan2⃣GERD negotiation is about filling (but not water sharing) 3⃣The neg… ,BerhanuMegerssa,Ethiopia
1025,," Once we fully support our hydropower production and the development of the whole country, both in rural and urban areas…",BilisumaKegna,
1026,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,SalihuYahaya5,Abuja Nigeria
1027,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Ahmedhameid__,Khartoum North
1028,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,HcxLfz7YTxjlCEU,
1029,,"If  did not allow the likes of #WorldBank and the #US to meddle with the #GERD matters, #Ethiopia woul… ",raph789,
1030,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Ibn__Ibrahim,"Khartoum,SD🇸🇩"
1031,," Once we fully support our hydropower production and the development of the whole country, both in rural and urban areas…",yehabeshabet,United States
1032,,"Once we fully support our hydropower production and the development of the whole country, both in rural and urban a… ",globetrotter1_,Addis x Abudhabi x LosAngeles 
1033,,Sustainable energy access is fundamental for #COVID19 testing and overall healthcare system in #Ethiopia &amp; ealsewer… ,alemange2010,Ethiopia
1034,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,ShigeAhmed,Khartoum
1035,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Mohamed02547158,"الفجيرة, الامارات العربية المت"
1036,,Look how Egypt is misinforming international community  ▶️“Egypt today” said GERD produce 3X Hoover Dam &amp; 2X wate… ,BerhanuMegerssa,Ethiopia
1037,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,theonlyriya1,SOUTH SUDAN 
1038,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Gingerbreadmaan,
1039,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,shertaga,
1040,,#Ethiopia is in a terrible state at the moment due to 's appalling leadership. His empty words won't j… ,raph789,
1041,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,SOGez1,
1042,,"""Ethiopia reiterates fair and reasonable utilization of the shared resource among all reparian countries. #Nile is… ",alemange2010,Ethiopia
1043,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,LungaNgiba,JHB South Africa
1044,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Fekirlov,Addis ሸገር 
1045,, Discussions following a presentation on #GERD status and way forward highlighted the outlook and benefits of the GERD to do…,Fekirlov,Addis ሸገር 
1046,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MaruwaTumainiel,
1047,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AfricaRepublic,United States of Africa
1048,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,sanjak4,
1049,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,kesnger,
1050,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mustafaelhajsha,
1051,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,NebiatD,
1052,,  Standing against #Ethiopia   in the #GERD and raising a long time border issues at this crucial time isn't OK !!,iyoba4u,Ethiopia
1053,," ""The Land that Feeds the Nile is Unable to Feed Itself"" - Mahemud Tekuya ()#ItsMyDam  #GERD  #ItsOurDam   🇪🇹🇪🇹🇪🇹…",DallieDeyamo,
1054,," #Ethiopia, #Sudan discuss economies, #GERD issues  ",Annoula64,Sweden
1055,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",koslofer,
1056,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,TheKhalidOmar,الكيلو متين و سبعين
1057,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AbebeMuluneh,"Addis Ababa, Ethiopia"
1058,,So the meds that I take every night before bed for my #GERD are more beneficial than I thought!?? 😂 #pepcid… ,chachafance,"Dothan, AL"
1059,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,LaurenBinDC,
1060,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",nicodelaunay,"Nairobi, Kenya"
1061,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,NattyExclusive,Traveling
1062,, #GERD was mentioned in his other tweet and pics of Sudanese delegation show water minister. That said t… ,nubianomad,
1063,," while u raise valid points, you can’t negate the current concerns raised. Let’s have a nuanced discussi… ",nubianomad,
1064,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",mohamedabdirahm,The Horn of Africa
1065,,HAHAHA YES I've been a coward; only choosing the one I thought was both strong and yummy. Amen to Kopiko woohooo… ,krizydrewables,Zamboanga ↔️ Manila
1066,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Hakam_Kamel,Khartoum
1067,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AbebeIsak,state of jimma
1068,," These studies proposed a cascade of dams between. 4-5 depending on sizes, w/ location of #GERD being th… ",nubianomad,
1069,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,seriouslyjuri,انا افريقي انا سوداني 🇸🇩
1070,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,A_ahmedjeeh,"Jigjiga, Somali State,Ethiopia"
1071,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Tahinajuliana,Madagascar
1072,,1⃣ 🇪🇹 can't be pressurized to surrender its natural resourcethru deception 2⃣ Any Egyptian conspiracy &amp; arm twist… ,BerhanuMegerssa,Ethiopia
1073,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,HenokTeferra_S,"Paris, France "
1074,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,anteneh_berhane,
1075,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Taha85400878,
1076,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,xyToTpMSNzeMlKy,
1077,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",ShalleOsman,
1078,, Ethiopia aspires to grow anchored in utilisation of our natural endowments. I thank the #GERD technical team for their up…,AlemuGemeda1,Ethiopia
1079,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mahermusa15,
1080,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,josly_ngoma,"Brazzaville, Congo"
1081,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MubarkGadim,"Utrecht, The Netherlands"
1082,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,kablofill66,Sudan the Freedom
1083,, #GERD #ItsMyDam #RT 1. #BlueNile is the major river in #Ethiopia. Tekeze &amp; Baro are among the main tributaries. 2. #Blu…,TesfahunWubshet,
1084,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,zenollito,"Paris, France"
1085,," #Ethiopia, #Sudan discuss economies, #GERD issues  ",zenollito,"Paris, France"
1086,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mohll_jk85,"الخبر, المملكة العربية السعودي"
1087,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,tirsity,Addis Ababa 
1088,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Mo_Clay11,Sudan
1089,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,HermelaBrook,
1090,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AliTahiro8,United States
1091,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,isaac92211632,
1092,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Mosalaan77,Hargeisa somaliland
1093,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,moatsimbageer,SUDAN
1094,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,ahmedalkhir,Khartoum
1095,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Loay22866202,
1096,,"  The DOP of the #GERD clearly stated “no significant harm to others”, bold and clear. Ethi… ",alemu_markos,Addis Ababa
1097,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,NgangaWaNgangan,"Machakos, Kenya"
1098,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",abdikadirdubat4,HoA
1099,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Addist1T,
1100,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",DrMehari,Addis Ababa 
1101,,"#Ethiopia, #Sudan discuss economies, #GERD issues  ",AnalyticaGlobal,Worldwide
1102,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",AberaLucas,
1103,," 3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint institutio…",RAbdiCG,"Nairobi, Kenya"
1104,,"3 #GERD options:1/ Finalise initial deal on first 2-yr filling phase (details agreed already), including joint in… ",wdavison10,Ethiopia
1105,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,afrikanNet,Ethiopia
1106,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,atiftalha1,Sudan 🇸🇩
1107,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,ibrahim199136,Sudan
1108,,"#Ethiopia, #Sudan discuss economies, #GERD issues  ",fanatelevision,"ADDIS ABABA, ETHIOPIA"
1109,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Sun_Moon_13,Maldives
1110,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AhmedOs11295379,
1111,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,carrel_tob,Longasse_Bessombè 🌴
1112,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,msma122,
1113,,#Sudan is misled by #Egypt to frustrate #Ethiopia's #GERD which will supply Greater #HOA with electricity. #Egypt's… ,ABDUBAGUYODIDA1,
1114,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Estifan39129546,"Edmonton, Alberta"
1115,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,kembobill,nairobi
1116,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Ramadan28041100,
1117,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,mo8f3,Khartoum
1118,,  Standing against #Ethiopia   in the #GERD and raising a long time border issues at this crucial time isn't OK !!,iyoba4u,Ethiopia
1119,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,FrehiwotMebratu,
1120,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Sudan_Trending,🇸🇩🇺🇸🇬🇧🇫🇷 🇩🇪🇨🇦🇦🇺🇸🇩
1121,, 16. GERD benefits: Ethiopia gets ~$700M/USD. I.e. &gt; coffee exports Electricity is catalyst to manufacturing industry.…,fitse_t,"Philadelphia, PA"
1122,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,ajijay45,
1123,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,bantihungetahun,"Addis Ababa, Ethiopia"
1124,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,alhaythum,Planet Earth
1125,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MohWadAhmed,sudan
1126,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AliHuss59376025,
1127,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,al_mudathir1,khartoum sudan
1128,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Tehraqa1,Port-Sudan
1129,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Rida_Beau,Khartoum
1130,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,EmiruMesfin,
1131,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,kushitie,YYC 
1132,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,FSluu5D14AVobKG,
1133,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,SherBah46958042,
1134,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Osama_Gunners,
1135,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,SatishBellie,"Addis Ababa, Ethiopia"
1136,,"Please meet our new #GERD negotiator supposedly capable of communicating, dealing, and negotiating with foreigners… ",raskassa,"Seattle, WA"
1137,," On World Barrett's day and everyday, our free encyclopaedia will tell you more about acid, reflux, complications and ma…",Asenbar,España
1138,,"On World Barrett's day and everyday, our free encyclopaedia will tell you more about acid, reflux, complications an… ",BarrettsWessex,"Southampton, UK"
1139,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,KHALEDMANAWI44,Nyala
1140,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,atm2112,
1141,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AbdiDe6,
1142,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,an7na,السودان
1143,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,OsmanAbubakar_,En-Nuba
1144,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MouktarAlbert,"Minneapolis, Minnesota"
1145,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Eng_Khalid91,Sudan
1146,, The #GERD poses an existential challenge to #Egypt more serious than the coronavirus crisis.  #Ethiopia…,leocullen4,London 
1147,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,AbdelazizYakub,"Düsseldorf, Nordrhein-Westfalen"
1148,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Ethiopialiveupd,Addis Ababa
1149,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,hassantahv,Sudan
1150,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,merontadese3,
1151,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Kisumu_lastborn,Kisumu
1152,,  Read this:#gerd #reflux #downwithacidToday is World Barrett's Day #barrettsday ht…,smallypaula,South London
